day,trade_7d,trade_14d,trade_91d,trade_182d,trade_365d,Proj_traded,Token_traded
2019-03-03,0.046296296296296294,0.046296296296296294,0.17592592592592593,0.21296296296296297,0.2777777777777778,6,108
2019-03-04,0.0,0.0,0.17105263157894737,0.25,0.39473684210526316,4,76
2019-03-05,0.02857142857142857,0.04285714285714286,0.12857142857142856,0.18571428571428572,0.34285714285714286,10,139
2019-03-06,0.01948051948051948,0.025974025974025976,0.07142857142857142,0.16233766233766234,0.2857142857142857,11,153
2019-03-07,0.02830188679245283,0.02830188679245283,0.08490566037735849,0.1792452830188679,0.2358490566037736,9,106
2019-03-08,0.007142857142857143,0.014285714285714285,0.12142857142857143,0.18571428571428572,0.25,4,140
2019-03-09,0.01764705882352941,0.029411764705882353,0.11764705882352941,0.17647058823529413,0.23529411764705882,9,169
2019-03-10,0.0136986301369863,0.0273972602739726,0.04794520547945205,0.0958904109589041,0.1506849315068493,9,145
2019-03-11,0.046357615894039736,0.06622516556291391,0.06622516556291391,0.09271523178807947,0.12582781456953643,11,151
2019-03-12,0.025974025974025976,0.03896103896103896,0.08441558441558442,0.12987012987012986,0.19480519480519481,10,154
2019-03-13,0.013071895424836602,0.0196078431372549,0.10457516339869281,0.16339869281045752,0.1895424836601307,7,153
2019-03-14,0.0234375,0.0390625,0.125,0.140625,0.171875,8,128
2019-03-15,0.008,0.016,0.088,0.128,0.224,8,125
2019-03-16,0.03932584269662921,0.0449438202247191,0.1348314606741573,0.2247191011235955,0.2696629213483146,8,176
2019-03-17,0.013245033112582781,0.026490066225165563,0.09933774834437085,0.15894039735099338,0.1986754966887417,7,150
2019-03-18,0.03389830508474576,0.05084745762711865,0.13559322033898305,0.23728813559322035,0.3220338983050847,7,117
2019-03-19,0.058394160583941604,0.058394160583941604,0.11678832116788321,0.20437956204379562,0.24817518248175183,9,133
2019-03-20,0.022388059701492536,0.04477611940298507,0.13432835820895522,0.17164179104477612,0.29850746268656714,10,134
2019-03-21,0.02,0.03,0.15,0.24,0.33,9,99
2019-03-22,0.016129032258064516,0.024193548387096774,0.06451612903225806,0.1532258064516129,0.24193548387096775,8,123
2019-03-23,0.042735042735042736,0.06837606837606838,0.1623931623931624,0.21367521367521367,0.26495726495726496,7,117
2019-03-24,0.047619047619047616,0.0761904761904762,0.13333333333333333,0.22857142857142856,0.3047619047619048,10,103
2019-03-25,0.0,0.021739130434782608,0.09782608695652174,0.16304347826086957,0.21739130434782608,9,92
2019-03-26,0.030303030303030304,0.03636363636363636,0.13333333333333333,0.2,0.28484848484848485,11,164
2019-03-27,0.05263157894736842,0.07368421052631578,0.14736842105263157,0.21052631578947367,0.29473684210526313,8,94
2019-03-28,0.03937007874015748,0.05511811023622047,0.2047244094488189,0.3543307086614173,0.41732283464566927,8,124
2019-03-29,0.04819277108433735,0.05421686746987952,0.18072289156626506,0.26506024096385544,0.3373493975903614,12,164
2019-03-30,0.039473684210526314,0.06578947368421052,0.17105263157894737,0.25,0.2894736842105263,10,151
2019-03-31,0.06086956521739131,0.06086956521739131,0.13043478260869565,0.19130434782608696,0.24347826086956523,8,114
2019-04-01,0.007575757575757576,0.022727272727272728,0.07575757575757576,0.12878787878787878,0.20454545454545456,10,131
2019-04-02,0.005649717514124294,0.011299435028248588,0.11864406779661017,0.1807909604519774,0.22033898305084745,10,177
2019-04-03,0.011428571428571429,0.02857142857142857,0.14285714285714285,0.16,0.21142857142857144,10,174
2019-04-04,0.04186046511627907,0.046511627906976744,0.09767441860465116,0.13023255813953488,0.15813953488372093,14,210
2019-04-05,0.025974025974025976,0.03896103896103896,0.16233766233766234,0.23376623376623376,0.2662337662337662,9,152
2019-04-06,0.007142857142857143,0.014285714285714285,0.09285714285714286,0.11428571428571428,0.15,8,140
2019-04-07,0.0,0.01904761904761905,0.11428571428571428,0.18095238095238095,0.2571428571428571,11,105
2019-04-08,0.04878048780487805,0.06097560975609756,0.15853658536585366,0.24390243902439024,0.34146341463414637,12,81
2019-04-09,0.0380952380952381,0.05714285714285714,0.17142857142857143,0.24761904761904763,0.3333333333333333,11,105
2019-04-10,0.022222222222222223,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.3111111111111111,10,89
2019-04-11,0.016,0.024,0.096,0.16,0.248,12,124
2019-04-12,0.02040816326530612,0.02040816326530612,0.14285714285714285,0.2108843537414966,0.272108843537415,10,146
2019-04-13,0.015503875968992248,0.015503875968992248,0.06976744186046512,0.15503875968992248,0.20930232558139536,11,129
2019-04-14,0.0,0.012048192771084338,0.07228915662650602,0.13253012048192772,0.18072289156626506,9,83
2019-04-15,0.02127659574468085,0.02127659574468085,0.0851063829787234,0.13829787234042554,0.1702127659574468,16,94
2019-04-16,0.051470588235294115,0.0661764705882353,0.1323529411764706,0.18382352941176472,0.21323529411764705,13,136
2019-04-17,0.030303030303030304,0.05303030303030303,0.17424242424242425,0.25757575757575757,0.3181818181818182,14,131
2019-04-18,0.04716981132075472,0.0660377358490566,0.16037735849056603,0.2169811320754717,0.27358490566037735,10,106
2019-04-19,0.04838709677419355,0.07258064516129033,0.1693548387096774,0.22580645161290322,0.27419354838709675,12,122
