day,N,N1,N2,M,M[-1],N1/M[-1],N2/M[-1],N1/N,N2/N
2019-09-07,96,71.0,25.0,26384.0,26313.0,0.0026982860183179416,0.0009501007106753316,0.7395833333333334,0.2604166666666667
2019-09-08,86,61.0,25.0,26445.0,26384.0,0.002312007277137659,0.0009475439660400243,0.7093023255813954,0.29069767441860467
2019-09-09,50,38.0,12.0,26483.0,26445.0,0.0014369446020041595,0.00045377197958026093,0.76,0.24
2019-09-10,87,59.0,28.0,26542.0,26483.0,0.0022278442774610126,0.0010572820299814976,0.6781609195402298,0.3218390804597701
2019-09-11,80,50.0,30.0,26592.0,26542.0,0.0018838067967749228,0.0011302840780649537,0.625,0.375
2019-09-12,73,51.0,22.0,26643.0,26592.0,0.001917870036101083,0.0008273164861612515,0.6986301369863014,0.3013698630136986
2019-09-13,63,44.0,19.0,26687.0,26643.0,0.0016514656757872612,0.00071313290545359,0.6984126984126984,0.30158730158730157
2019-09-14,93,71.0,22.0,26758.0,26687.0,0.0026604713905646945,0.0008243714167946941,0.7634408602150538,0.23655913978494625
2019-09-15,137,112.0,25.0,26870.0,26758.0,0.004185664100455938,0.0009343000224232006,0.8175182481751825,0.18248175182481752
2019-09-16,94,71.0,23.0,26941.0,26870.0,0.0026423520655005583,0.0008559732043170822,0.7553191489361702,0.24468085106382978
2019-09-17,73,52.0,21.0,26993.0,26941.0,0.0019301436472291304,0.0007794810883040719,0.7123287671232876,0.2876712328767123
2019-09-18,111,98.0,13.0,27091.0,26993.0,0.0036305708887489348,0.0004816063423850628,0.8828828828828829,0.11711711711711711
2019-09-19,69,53.0,16.0,27144.0,27091.0,0.001956369273928611,0.0005906020449595806,0.7681159420289855,0.2318840579710145
2019-09-20,73,54.0,19.0,27198.0,27144.0,0.001989389920424403,0.0006999705275567345,0.7397260273972602,0.2602739726027397
2019-09-21,174,152.0,22.0,27350.0,27198.0,0.005588646223987058,0.00080888300610339,0.8735632183908046,0.12643678160919541
2019-09-22,73,49.0,24.0,27399.0,27350.0,0.0017915904936014625,0.0008775137111517368,0.6712328767123288,0.3287671232876712
2019-09-23,90,62.0,28.0,27461.0,27399.0,0.0022628563086244022,0.0010219351071206978,0.6888888888888889,0.3111111111111111
2019-09-24,124,97.0,27.0,27558.0,27461.0,0.0035322821455882887,0.0009832125559884927,0.782258064516129,0.21774193548387097
2019-09-25,153,122.0,31.0,27680.0,27558.0,0.004427026634734016,0.0011249002104652007,0.7973856209150327,0.20261437908496732
2019-09-26,118,86.0,32.0,27766.0,27680.0,0.0031069364161849713,0.0011560693641618498,0.7288135593220338,0.2711864406779661
2019-09-27,92,72.0,20.0,27838.0,27766.0,0.002593099474177051,0.0007203054094936253,0.782608695652174,0.21739130434782608
2019-09-28,106,90.0,16.0,27928.0,27838.0,0.0032329908757813062,0.0005747539334722322,0.8490566037735849,0.1509433962264151
2019-09-29,80,64.0,16.0,27992.0,27928.0,0.0022916069894013177,0.0005729017473503294,0.8,0.2
2019-09-30,84,58.0,26.0,28050.0,27992.0,0.002072020577307802,0.0009288368105172907,0.6904761904761905,0.30952380952380953
2019-10-01,69,53.0,16.0,28103.0,28050.0,0.0018894830659536542,0.0005704099821746881,0.7681159420289855,0.2318840579710145
2019-10-02,90,73.0,17.0,28176.0,28103.0,0.002597587446180123,0.0006049176244529054,0.8111111111111111,0.18888888888888888
2019-10-03,131,112.0,19.0,28288.0,28176.0,0.003975014196479273,0.0006743327654741624,0.8549618320610687,0.1450381679389313
2019-10-04,71,56.0,15.0,28344.0,28288.0,0.0019796380090497737,0.0005302601809954751,0.7887323943661971,0.2112676056338028
2019-10-05,91,73.0,18.0,28417.0,28344.0,0.0025755009878633927,0.0006350550381033022,0.8021978021978022,0.1978021978021978
2019-10-06,124,99.0,25.0,28516.0,28417.0,0.0034838301016996867,0.0008797550761867896,0.7983870967741935,0.20161290322580644
2019-10-07,165,126.0,39.0,28642.0,28516.0,0.004418572029737691,0.0013676532472997615,0.7636363636363637,0.23636363636363636
2019-10-08,151,113.0,38.0,28755.0,28642.0,0.003945255219607569,0.0013267229942043152,0.7483443708609272,0.25165562913907286
2019-10-09,124,104.0,20.0,28859.0,28755.0,0.0036167623022083117,0.0006955312119631368,0.8387096774193549,0.16129032258064516
2019-10-10,110,94.0,16.0,28953.0,28859.0,0.003257216119754669,0.0005544197650646245,0.8545454545454545,0.14545454545454545
2019-10-11,140,126.0,14.0,29079.0,28953.0,0.004351880634131178,0.00048354229268124203,0.9,0.1
2019-10-12,92,74.0,18.0,29153.0,29079.0,0.0025447917741325357,0.0006190034045187249,0.8043478260869565,0.1956521739130435
2019-10-13,93,76.0,17.0,29229.0,29153.0,0.0026069358213562928,0.0005831303810928549,0.8172043010752689,0.1827956989247312
2019-10-14,90,70.0,20.0,29299.0,29229.0,0.0023948817954770945,0.0006842519415648842,0.7777777777777778,0.2222222222222222
2019-10-15,119,98.0,21.0,29397.0,29299.0,0.003344824055428513,0.0007167480118775385,0.8235294117647058,0.17647058823529413
2019-10-16,156,121.0,35.0,29518.0,29397.0,0.004116066265265163,0.0011905976800353777,0.7756410256410257,0.22435897435897437
2019-10-17,141,105.0,36.0,29623.0,29518.0,0.0035571515685344536,0.001219594823497527,0.7446808510638298,0.2553191489361702
2019-10-18,178,147.0,31.0,29770.0,29623.0,0.004962360328123417,0.001046484150828748,0.8258426966292135,0.17415730337078653
